location_code,PSC_Code,FisheryID,FisheryName,Gear
3F10510  086203 H,3F10510  08,128,L WaSm Spt,4
1M1NE109 1099985,1M1NE,197,NE AK  Trl,1
1M1NE109 1099985,1M1,198,SE AK Net,2
1M1NE109 1099985,1M1,198,SE AK Net,3
1M1NE109 1099985,1M1,198,SE AK Net,6
1M1NE109 1099985,1M1,199,SE AK Sport,4
2MS62P016KILL BY 13,2MS62P016,193,Albern Spt,4
1M1SE108 6005  MB,1M1SE,195,SE AK  Trl,1
1M1SE108 6005  MB,1M1,198,SE AK Net,2
1M1SE108 6005  MB,1M1,198,SE AK Net,3
1M1SE108 6005  MB,1M1,198,SE AK Net,6
1M1SE108 6005  MB,1M1,199,SE AK Sport,4
1M1NE112 1104,1M1NE,197,NE AK  Trl,1
1M1NE112 1104,1M1,198,SE AK Net,2
1M1NE112 1104,1M1,198,SE AK Net,3
1M1NE112 1104,1M1,198,SE AK Net,6
1M1NE112 1104,1M1,199,SE AK Sport,4
3F21802  230639 R,3F21802  23,54,Chehal Spt,4
3F21802  230642 R,3F21802  23,54,Chehal Spt,4
3F21802  230649 R,3F21802  23,54,Chehal Spt,4
3F21802  230649 R71,3F21802  23,54,Chehal Spt,4
2MS27P024GRIC BY 09,2MS27,190,WC VI  Spt,4
3F10208  030199 R,3F102,103,Skag R Net,2
3F10412  14     R84,3F10412  14,165,12C-D TSpt,4
3F10510  080178 H,3F10510  08,128,L WaSm Spt,4
5F33402  R21    20,5F334,32,UpColR Net,2
1M1        16  MS,1M1   ,195,SE AK  Trl,1
1M1        16  MS,1M1,198,SE AK Net,2
1M1        16  MS,1M1,198,SE AK Net,3
1M1        16  MS,1M1,198,SE AK Net,6
1M1        16  MS,1M1,199,SE AK Sport,4
2MS22P013SMEL BY 15,2MS22,192,SGaStr Spt,4
3F10510  0873029E,3F10510  08,128,L WaSm Spt,4
3F10510  0873041E,3F10510  08,128,L WaSm Spt,4
3F10510  0873345E,3F10510  08,128,L WaSm Spt,4
2MS23P017TELE HA 06,2MS23P017,192,SGaStr Spt,4
1M1NE112 6304,1M1NE,197,NE AK  Trl,1
1M1NE112 6304,1M1,198,SE AK Net,2
1M1NE112 6304,1M1,198,SE AK Net,3
1M1NE112 6304,1M1,198,SE AK Net,6
1M1NE112 6304,1M1,199,SE AK Sport,4
3F10412  150466 R,3F10412  1504,165,12C-D TSpt,4
1M1SE108 4512  MS,1M1SE,195,SE AK  Trl,1
1M1SE108 4512  MS,1M1,198,SE AK Net,2
1M1SE108 4512  MS,1M1,198,SE AK Net,3
1M1SE108 4512  MS,1M1,198,SE AK Net,6
1M1SE108 4512  MS,1M1,199,SE AK Sport,4
2MN25H02ERACE TA 08,2MN25,187,No BC  Spt,4
5F33203  R      18,5F33203,24,L ColR Spt,4
3F10510  080019 R,3F10510  08,128,L WaSm Spt,4
1M1NW113 31,1M1NW,196,NW AK  Trl,1
1M1NW113 31,1M1,198,SE AK Net,2
1M1NW113 31,1M1,198,SE AK Net,3
1M1NW113 31,1M1,198,SE AK Net,6
1M1NW113 31,1M1,199,SE AK Sport,4
3F21703  210139 S,3F21703  21,65,Queets Spt,4
3F21703  210139 S,3F21703  21,68,Queets Net,2
5F33209  R345   13,5F33209,25,L ColR Net,2
3F21704  200077 R,3F21704,76,Mak FW Spt,4
3F21704  200077 R,3F21704,77,Mak FW Net,2
3F21802  220190 R55,3F21802  220190 R,52,LwCheh Net,2
3F21802  220190 R55,3F21802  2201,54,Chehal Spt,4
2MN26H006CAMP SD 10,2MN26H006,188,Cen BC Spt,4
3F21802  220191 R,3F21802  2201,54,Chehal Spt,4
3F21902  240554 R,3F219,46,Willpa Spt,4
3F21902  240554 R,3F219,47,WlpaBT Net,2
3F21902  240564 R,3F219,46,Willpa Spt,4
3F21902  240564 R,3F219,47,WlpaBT Net,2
3F21902  240572 R,3F219,46,Willpa Spt,4
3F21902  240572 R,3F219,47,WlpaBT Net,2
3F21902  240576 R,3F219,46,Willpa Spt,4
3F21902  240576 R,3F219,47,WlpaBT Net,2
2MS27M23BALLE RK 11,2MS27,190,WC VI  Spt,4
2MS27M23BALLE RK 11,All,300,Escapement,5
3F21902  240677 R,3F219,46,Willpa Spt,4
3F21902  240677 R,3F219,47,WlpaBT Net,2
2MS02M111       340,2MS02,175,SW VI  Trl,1
2MS02M111       340,2MS02,181,SW VI  Net,2
2MS02M111       340,2MS02,181,SW VI  Net,3
2MS22P014SIST IT 03,2MS22,192,SGaStr Spt,4
5F334    66,5F334,32,UpColR Net,2
2F 29FWLFPOPK BR,2F 29FW,169,Fraser Spt,4
2MS23P028DEP BY  02,2MS23P028,192,SGaStr Spt,4
2MS23P018IMRI IS 06,2MS23P018,192,SGaStr Spt,4
1M107MB  SW10365,1M1,198,SE AK Net,2
1M107MB  SW10365,1M1,198,SE AK Net,3
1M107MB  SW10365,1M1,198,SE AK Net,6
1M107MB  SW10365,1M1,199,SE AK Sport,4
2MN09H004       021,2MN09,178,No BC  Net,2
2MS01M140       000,2MS01,174,NW VI  Trl,1
2MS01M140       000,2MS01,180,NW VI  Net,2
2MS01M140       000,2MS01,180,NW VI  Net,3
2MS01M140       000,1M1,198,SE AK Net,2
2MS01M140       000,1M1,198,SE AK Net,3
2MS01M140       000,1M1,198,SE AK Net,6
2MS01M140       000,1M1,199,SE AK Sport,4
2MN25H004KENN IS 15,2MN25,187,No BC  Spt,4
3M11106  872423,3M11106,92,Area 6 Spt,4
2MS04P013       142,2MS04P,176,GeoStr Trl,1
2MS22P014PARKSVI 01,2MS22,192,SGaStr Spt,4
1M1NE109 4405,1M1NE,197,NE AK  Trl,1
1M1NE109 4405,1M1,198,SE AK Net,2
1M1NE109 4405,1M1,198,SE AK Net,3
1M1NE109 4405,1M1,198,SE AK Net,6
1M1NE109 4405,1M1,199,SE AK Sport,4
1M1SW150   06  MS,1M1SW,194,SW AK  Trl,1
1M1SW150   06  MS,1M1,198,SE AK Net,2
1M1SW150   06  MS,1M1,198,SE AK Net,3
1M1SW150   06  MS,1M1,198,SE AK Net,6
1M1SW150   06  MS,1M1,199,SE AK Sport,4
1M1NE109 5005,1M1NE,197,NE AK  Trl,1
1M1NE109 5005,1M1,198,SE AK Net,2
1M1NE109 5005,1M1,198,SE AK Net,3
1M1NE109 5005,1M1,198,SE AK Net,6
1M1NE109 5005,1M1,199,SE AK Sport,4
1M1NW113 31NO2 DE,1M1NW,196,NW AK  Trl,1
1M1NW113 31NO2 DE,1M1,198,SE AK Net,2
1M1NW113 31NO2 DE,1M1,198,SE AK Net,3
1M1NW113 31NO2 DE,1M1,198,SE AK Net,6
1M1NW113 31NO2 DE,1M1,199,SE AK Sport,4
3F10513  140084 R,3F10513  14,149,13D-K TSpt,4
2MN56P130       000,2MN56,172,NoC BC Trl,1
3F10510  080028AR01,3F10510  08,128,L WaSm Spt,4
3F10510  080028AS,3F10510  08,128,L WaSm Spt,4
3F10510  080259 R02,3F10510  08,128,L WaSm Spt,4
2MS08,2MS08,184,Fraser Net,2
3F10513  1573299E,3F10513  15,149,13D-K TSpt,4
3F10513  1574189E,3F10513  15,149,13D-K TSpt,4
2MN26P011HOPE IS,2MN26P011,188,Cen BC Spt,4
2MS24P020CP CALR 05,2MS24,189,BC JDF Spt,4
3F10510  086005 H,3F10510  08,128,L WaSm Spt,4
3F10510  086010 H,3F10510  08,128,L WaSm Spt,4
3F21802  231002 R,3F21802  23,54,Chehal Spt,4
3F21902  240581 R01,3F219,46,Willpa Spt,4
3F21902  240581 R01,3F219,47,WlpaBT Net,2
2MS24M19BESQUIMA 03,2MS24,189,BC JDF Spt,4
2MN26P012EVE RV  02,2MN26P012,186,JStrBC Spt,4
3F10513  146192 H,3F10513  14,149,13D-K TSpt,4
2MS24020 020-000,2MS24,189,BC JDF Spt,4
2MN26H011HELM IS 04,2MN26H011,188,Cen BC Spt,4
